Entity,Year,Latest observed data,UN 1968 Revision,UN 1973 Revision,UN 1982 Revision,UN 1980 Revision,UN 1984 Revision,UN 1990 Revision,UN 1998 Revision,UN 2017 Revision,UN 2019 Revision,UN 2022 Revision
World,1950,2499322112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,1955,2746072064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,1960,3019233536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,1965,3337112064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,1970,3695390208.0,3631789000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,1975,4069437184.0,0.0,3967864000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,1980,4444007936.0,4456688000.0,4374110000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,1985,4861730816.0,0.0,4816537000.0,4842048000.0,4826328000.0,4836645000.0,0.0,0.0,0.0,0.0,0.0
World,1990,5316175872.0,5438169000.0,5280017000.0,5248485000.0,5241911000.0,5246209000.0,0.0,0.0,0.0,0.0,0.0
World,1995,5743219712.0,0.0,5762564000.0,5679251000.0,5677246000.0,5677574000.0,5770000000.0,0.0,0.0,0.0,0.0
World,2000,6148898816.0,6493642000.0,6254377000.0,6127117000.0,6118850000.0,6121813000.0,6261000000.0,6055049000.0,0.0,0.0,0.0
World,2005,6558176256.0,0.0,0.0,0.0,0.0,0.0,6739000000.0,6429397000.0,0.0,0.0,0.0
World,2010,6985603072.0,0.0,0.0,6994741000.0,0.0,6989128000.0,7204000000.0,6794773000.0,0.0,0.0,0.0
World,2015,7426597376.0,0.0,0.0,0.0,0.0,0.0,7660000000.0,7154366000.0,0.0,0.0,0.0
World,2020,7840952832.0,0.0,0.0,7805747000.0,0.0,7822193000.0,8092000000.0,7501521000.0,7795482309.0,7794798725.0,0.0
World,2025,0.0,0.0,0.0,8177052000.0,0.0,8205765000.0,8504000000.0,7823703000.0,8185613757.0,8184437453.0,8191988224.0
World,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8111980000.0,8551198644.0,8548487367.0,8546141184.0
World,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8892701940.0,8887524228.0,8879397888.0
World,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8576540000.0,9210337004.0,9198847382.0,9188250624.0
World,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9504209572.0,9481803269.0,9467543552.0
World,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8909095000.0,9771822753.0,9735033898.0,9709492224.0
